Rule_ID,Rule_Name,Source_Zone,Source,Source_IP,Destination_Zone,Destination,Destination_IP,Service,Protocol,Port,Action,Logging,NAT,Rule_Type,Owner,Department,Business_Justification,Ticket_Number,Created_Date,Last_Reviewed_Date,Expiry_Date,Status,Environment,Remarks
1,Allow_User_Web_Browsing,LAN,User_Network,10.10.10.0/24,WAN,Internet,Any,HTTPS,TCP,443,Allow,Enabled,No,Permanent,Network Team,IT,Allow users to access approved internet websites,CHG-1001,01/01/2026,01/06/2026,,Enabled,Production,Standard internet browsing rule
2,Allow_RDP_From_Any,WAN,Any,Any,LAN,Admin_Server,10.10.20.10,RDP,TCP,3389,Allow,Enabled,No,Temporary,Infrastructure Team,IT,Remote administration during support activity,CHG-1002,15/05/2026,20/05/2026,30/07/2026,Enabled,Production,High-risk rule because source is Any
3,Allow_Any_Any_Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Allow,Disabled,No,Emergency,,,,CHG-1003,01/03/2026,,01/04/2026,Enabled,Production,Critical test rule with multiple missing fields
4,Block_Telnet_To_Internal,WAN,Any,Any,LAN,Internal_Network,10.10.0.0/16,Telnet,TCP,23,Deny,Enabled,No,Permanent,Security Team,Cybersecurity,Block insecure Telnet traffic from external networks,CHG-1004,01/02/2026,01/06/2026,,Enabled,Production,Deny rule should not be treated as risky service allow
5,Temp_FTP_Vendor_Access,WAN,Vendor_IP,203.0.113.10,DMZ,File_Server,10.10.50.20,FTP,TCP,21,Allow,Disabled,No,Vendor,Application Team,Application,Temporary vendor file transfer for troubleshooting,CHG-1005,01/06/2026,,,Enabled,UAT,Missing expiry and logging disabled
6,Allow_SSH_Admin_Network,LAN,Admin_Network,10.10.99.0/24,SERVER,Linux_Server,10.10.30.25,SSH,TCP,22,Allow,Enabled,No,Permanent,Infrastructure Team,IT,SSH administration from approved admin subnet,CHG-1006,10/01/2026,01/06/2026,,Enabled,Production,Valid admin access but risky service
7,Allow_SMB_User_To_FileServer,LAN,User_Network,10.10.10.0/24,SERVER,File_Server,10.10.50.10,SMB,TCP,445,Allow,Enabled,No,Permanent,Storage Team,IT,Allow users to access department file shares,CHG-1007,05/01/2026,01/06/2026,,Enabled,Production,SMB should be reviewed
8,Expired_MSSQL_Test_Access,APP,Test_App_Server,10.10.70.15,DB,Database_Server,10.10.40.10,MSSQL,TCP,1433,Allow,Enabled,No,Temporary,Database Team,Data,Testing database connectivity,CHG-1008,10/12/2025,15/12/2025,01/01/2026,Enabled,UAT,Expired temporary rule
9,Allow_MYSQL_Missing_Comment,APP,App_Server,10.10.30.20,DB,MySQL_Server,10.10.40.20,MYSQL,TCP,3306,Allow,Enabled,No,Permanent,Application Team,Application,,CHG-1009,20/02/2026,01/06/2026,,Enabled,Production,Missing business justification
10,Allow_Monitoring_Missing_Owner,SERVER,Monitoring_Server,10.10.60.10,LAN,Internal_Network,10.10.0.0/16,HTTPS,TCP,443,Allow,Enabled,No,Permanent,,IT,Monitoring traffic to internal systems,CHG-1010,10/02/2026,01/06/2026,,Enabled,Production,Missing owner
11,Disabled_Old_HTTP_Rule,LAN,Old_Server,10.10.80.10,DMZ,Legacy_App,10.10.90.10,HTTP,TCP,80,Allow,Enabled,No,Permanent,Legacy Team,Application,Old application access no longer used,CHG-1011,01/06/2025,01/01/2026,,Disabled,Production,Disabled old rule
12,Duplicate_Web_Rule_1,LAN,User_Network,10.10.10.0/24,WAN,Internet,Any,HTTPS,TCP,443,Allow,Enabled,No,Permanent,Network Team,IT,Duplicate web rule test,CHG-1012,01/01/2026,01/06/2026,,Enabled,Production,Duplicate test rule 1
13,Duplicate_Web_Rule_2,LAN,User_Network,10.10.10.0/24,WAN,Internet,Any,HTTPS,TCP,443,Allow,Enabled,No,Permanent,Network Team,IT,Duplicate web rule test,CHG-1013,01/01/2026,01/06/2026,,Enabled,Production,Duplicate test rule 2
14,Allow_Internal_DNS,LAN,Internal_Network,10.10.0.0/16,SERVER,DNS_Server,10.10.5.10,DNS,UDP,53,Allow,Enabled,No,Permanent,Network Team,IT,Allow internal DNS resolution,CHG-1014,01/01/2026,01/06/2026,,Enabled,Production,Compliant rule
15,UAT_HTTPS_Access,UAT,UAT_Network,10.20.10.0/24,APP,Web_App_Server,10.10.30.50,HTTPS,TCP,443,Allow,Enabled,No,UAT,Application Team,Application,UAT testing access for web application,CHG-1015,01/06/2026,01/06/2026,31/12/2026,Enabled,UAT,Temporary UAT access with expiry
